lsoa21cd,lsoa21nm,wd22cd,wd22nm,lad22cd,lad22nm
E01004939,Bolton 031E,E05000669,Westhoughton South,E08000001,Bolton
E01004940,Bolton 035E,E05000669,Westhoughton South,E08000001,Bolton
E01004941,Bury 021A,E05014152,Besses,E08000002,Bury
E01004942,Bury 021B,E05014152,Besses,E08000002,Bury
E01004943,Bury 021C,E05014152,Besses,E08000002,Bury
E01004944,Bury 021D,E05014152,Besses,E08000002,Bury
E01004945,Bury 017A,E05014152,Besses,E08000002,Bury
E01004946,Bury 021E,E05014152,Besses,E08000002,Bury
E01004947,Bury 009A,E05014154,Bury West,E08000002,Bury
E01004948,Bury 009B,E05014154,Bury West,E08000002,Bury
E01004949,Bury 010A,E05014154,Bury West,E08000002,Bury
E01004950,Bury 010B,E05014154,Bury West,E08000002,Bury
E01004951,Bury 010C,E05014154,Bury West,E08000002,Bury
E01004952,Bury 010D,E05014154,Bury West,E08000002,Bury
E01004953,Bury 010E,E05014154,Bury West,E08000002,Bury
E01004954,Bury 007A,E05014153,Bury East,E08000002,Bury
E01004955,Bury 007B,E05014153,Bury East,E08000002,Bury
E01004956,Bury 007C,E05014157,Moorside,E08000002,Bury
E01004957,Bury 007D,E05014153,Bury East,E08000002,Bury
E01004958,Bury 008A,E05014153,Bury East,E08000002,Bury
E01004959,Bury 008B,E05014153,Bury East,E08000002,Bury
E01004960,Bury 007E,E05014157,Moorside,E08000002,Bury
E01004961,Bury 005A,E05014155,Elton,E08000002,Bury
E01004962,Bury 009C,E05014155,Elton,E08000002,Bury
E01005012,Bury 018C,E05014162,Radcliffe West,E08000002,Bury
E01004810,Bolton 002E,E05000653,Bromley Cross,E08000001,Bolton
E01004862,Bolton 033B,E05000655,Farnworth,E08000001,Bolton
E01004811,Bolton 022A,E05000656,Great Lever,E08000001,Bolton
E01004812,Bolton 022B,E05000656,Great Lever,E08000001,Bolton
E01004813,Bolton 022C,E05000656,Great Lever,E08000001,Bolton
E01004814,Bolton 027A,E05000655,Farnworth,E08000001,Bolton
E01004815,Bolton 022D,E05000656,Great Lever,E08000001,Bolton
E01004816,Bolton 029A,E05000656,Great Lever,E08000001,Bolton
E01004817,Bolton 022E,E05000656,Great Lever,E08000001,Bolton
E01004818,Bolton 017A,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004819,Bolton 017B,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004820,Bolton 011A,E05000657,Halliwell,E08000001,Bolton
E01004822,Bolton 016B,E05000654,Crompton,E08000001,Bolton
E01004823,Bolton 016C,E05000657,Halliwell,E08000001,Bolton
E01004824,Bolton 005E,E05000654,Crompton,E08000001,Bolton
E01004825,Bolton 011B,E05000654,Crompton,E08000001,Bolton
E01004826,Bolton 011C,E05000654,Crompton,E08000001,Bolton
E01004827,Bolton 021A,E05000665,Rumworth,E08000001,Bolton
E01004828,Bolton 023A,E05000665,Rumworth,E08000001,Bolton
E01004829,Bolton 023B,E05000665,Rumworth,E08000001,Bolton
E01004830,Bolton 026A,E05000662,Hulton,E08000001,Bolton
E01004831,Bolton 026B,E05000662,Hulton,E08000001,Bolton
E01005013,Bury 018D,E05014162,Radcliffe West,E08000002,Bury
E01004832,Bolton 023C,E05000662,Hulton,E08000001,Bolton
E01004863,Bolton 033C,E05000655,Farnworth,E08000001,Bolton
E01005014,Bury 001A,E05014163,Ramsbottom,E08000002,Bury
E01004963,Bury 006A,E05014167,Tottington,E08000002,Bury
E01004833,Bolton 026C,E05000662,Hulton,E08000001,Bolton
E01004864,Bolton 008A,E05000654,Crompton,E08000001,Bolton
E01005015,Bury 001B,E05014163,Ramsbottom,E08000002,Bury
E01004964,Bury 009D,E05014155,Elton,E08000002,Bury
E01004834,Bolton 018A,E05000665,Rumworth,E08000001,Bolton
E01004865,Bolton 011D,E05000654,Crompton,E08000001,Bolton
E01005016,Bury 001C,E05014163,Ramsbottom,E08000002,Bury
E01004965,Bury 005B,E05014155,Elton,E08000002,Bury
E01004835,Bolton 020A,E05000659,Heaton and Lostock,E08000001,Bolton
E01004866,Bolton 011E,E05000657,Halliwell,E08000001,Bolton
E01004867,Bolton 008B,E05000654,Crompton,E08000001,Bolton
E01004868,Bolton 015A,E05000657,Halliwell,E08000001,Bolton
E01004869,Bolton 015B,E05000657,Halliwell,E08000001,Bolton
E01004870,Bolton 015C,E05000657,Halliwell,E08000001,Bolton
E01004871,Bolton 015D,E05000657,Halliwell,E08000001,Bolton
E01004872,Bolton 029B,E05000655,Farnworth,E08000001,Bolton
E01004873,Bolton 029C,E05000658,Harper Green,E08000001,Bolton
E01004874,Bolton 033D,E05000658,Harper Green,E08000001,Bolton
E01004875,Bolton 029D,E05000658,Harper Green,E08000001,Bolton
E01004876,Bolton 033E,E05000658,Harper Green,E08000001,Bolton
E01004877,Bolton 025D,E05000658,Harper Green,E08000001,Bolton
E01004878,Bolton 023E,E05000658,Harper Green,E08000001,Bolton
E01004879,Bolton 025E,E05000658,Harper Green,E08000001,Bolton
E01004880,Bolton 029E,E05000658,Harper Green,E08000001,Bolton
E01004881,Bolton 004B,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004882,Bolton 007C,E05000661,Horwich North East,E08000001,Bolton
E01004883,Bolton 007D,E05000661,Horwich North East,E08000001,Bolton
E01004884,Bolton 007E,E05000661,Horwich North East,E08000001,Bolton
E01004885,Bolton 014B,E05000661,Horwich North East,E08000001,Bolton
E01004886,Bolton 014C,E05000661,Horwich North East,E08000001,Bolton
E01004887,Bolton 014D,E05000661,Horwich North East,E08000001,Bolton
E01004888,Bolton 004C,E05000661,Horwich North East,E08000001,Bolton
E01004889,Bolton 004D,E05000661,Horwich North East,E08000001,Bolton
E01004890,Bolton 004E,E05000661,Horwich North East,E08000001,Bolton
E01004891,Bolton 028A,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E01004892,Bolton 030A,E05000662,Hulton,E08000001,Bolton
E01004893,Bolton 028B,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E01004894,Bolton 028C,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E01004895,Bolton 031B,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E01004896,Bolton 030B,E05000662,Hulton,E08000001,Bolton
E01004897,Bolton 020E,E05000659,Heaton and Lostock,E08000001,Bolton
E01004899,Bolton 030C,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E01004900,Bolton 030D,E05000662,Hulton,E08000001,Bolton
E01004901,Bolton 028E,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E01004902,Bolton 032D,E05000663,Kearsley,E08000001,Bolton
E01004903,Bolton 034A,E05000663,Kearsley,E08000001,Bolton
E01004904,Bolton 034B,E05000663,Kearsley,E08000001,Bolton
E01004905,Bolton 034C,E05000663,Kearsley,E08000001,Bolton
E01004906,Bolton 032E,E05000663,Kearsley,E08000001,Bolton
E01004907,Bolton 034D,E05000663,Kearsley,E08000001,Bolton
E01004908,Bolton 034E,E05000663,Kearsley,E08000001,Bolton
E01004909,Bolton 034F,E05000663,Kearsley,E08000001,Bolton
E01004910,Bolton 034G,E05000663,Kearsley,E08000001,Bolton
E01004911,Bolton 024A,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E01004836,Bolton 020B,E05000659,Heaton and Lostock,E08000001,Bolton
E01004837,Bolton 020C,E05000659,Heaton and Lostock,E08000001,Bolton
E01004838,Bolton 018B,E05000662,Hulton,E08000001,Bolton
E01004839,Bolton 026D,E05000662,Hulton,E08000001,Bolton
E01004840,Bolton 012A,E05000666,Smithills,E08000001,Bolton
E01004841,Bolton 012B,E05000666,Smithills,E08000001,Bolton
E01004842,Bolton 012C,E05000659,Heaton and Lostock,E08000001,Bolton
E01004843,Bolton 018C,E05000659,Heaton and Lostock,E08000001,Bolton
E01004844,Bolton 020D,E05000659,Heaton and Lostock,E08000001,Bolton
E01004845,Bolton 018D,E05000659,Heaton and Lostock,E08000001,Bolton
E01004846,Bolton 025A,E05000656,Great Lever,E08000001,Bolton
E01004847,Bolton 025B,E05000656,Great Lever,E08000001,Bolton
E01004848,Bolton 016D,E05000656,Great Lever,E08000001,Bolton
E01004849,Bolton 021B,E05000665,Rumworth,E08000001,Bolton
E01004850,Bolton 021C,E05000665,Rumworth,E08000001,Bolton
E01004851,Bolton 021D,E05000665,Rumworth,E08000001,Bolton
E01004852,Bolton 025C,E05000656,Great Lever,E08000001,Bolton
E01004853,Bolton 021E,E05000665,Rumworth,E08000001,Bolton
E01004854,Bolton 023D,E05000665,Rumworth,E08000001,Bolton
E01004855,Bolton 027B,E05000655,Farnworth,E08000001,Bolton
E01004856,Bolton 027C,E05000655,Farnworth,E08000001,Bolton
E01004857,Bolton 027D,E05000655,Farnworth,E08000001,Bolton
E01004858,Bolton 032A,E05000655,Farnworth,E08000001,Bolton
E01004859,Bolton 032B,E05000655,Farnworth,E08000001,Bolton
E01004860,Bolton 032C,E05000655,Farnworth,E08000001,Bolton
E01004766,Bolton 005A,E05000650,Astley Bridge,E08000001,Bolton
E01005017,Bury 001D,E05014163,Ramsbottom,E08000002,Bury
E01004966,Bury 005C,E05014155,Elton,E08000002,Bury
E01004967,Bury 005D,E05014155,Elton,E08000002,Bury
E01004767,Bolton 005B,E05000654,Crompton,E08000001,Bolton
E01004968,Bury 006B,E05014155,Elton,E08000002,Bury
E01005018,Bury 001E,E05014163,Ramsbottom,E08000002,Bury
E01004768,Bolton 001A,E05000650,Astley Bridge,E08000001,Bolton
E01004969,Bury 022A,E05014156,Holyrood,E08000002,Bury
E01005019,Bury 002A,E05014163,Ramsbottom,E08000002,Bury
E01004769,Bolton 003A,E05000650,Astley Bridge,E08000001,Bolton
E01004970,Bury 022B,E05014156,Holyrood,E08000002,Bury
E01005020,Bury 003A,E05014163,Ramsbottom,E08000002,Bury
E01004770,Bolton 003B,E05000650,Astley Bridge,E08000001,Bolton
E01004971,Bury 022C,E05014156,Holyrood,E08000002,Bury
E01005021,Bury 001F,E05014163,Ramsbottom,E08000002,Bury
E01004771,Bolton 003C,E05000650,Astley Bridge,E08000001,Bolton
E01004972,Bury 023A,E05014156,Holyrood,E08000002,Bury
E01005022,Bury 003B,E05014158,North Manor,E08000002,Bury
E01004772,Bolton 005C,E05000650,Astley Bridge,E08000001,Bolton
E01004973,Bury 023B,E05014156,Holyrood,E08000002,Bury
E01005023,Bury 002B,E05014158,North Manor,E08000002,Bury
E01004773,Bolton 003D,E05000650,Astley Bridge,E08000001,Bolton
E01004974,Bury 024A,E05014156,Holyrood,E08000002,Bury
E01005024,Bury 008E,E05014153,Bury East,E08000002,Bury
E01005025,Bury 011A,E05014164,Redvales,E08000002,Bury
E01005026,Bury 008F,E05014153,Bury East,E08000002,Bury
E01005027,Bury 011B,E05014164,Redvales,E08000002,Bury
E01005028,Bury 011C,E05014164,Redvales,E08000002,Bury
E01005029,Bury 011D,E05014164,Redvales,E08000002,Bury
E01005030,Bury 013A,E05014164,Redvales,E08000002,Bury
E01005031,Bury 025A,E05014166,St. Mary's,E08000002,Bury
E01005032,Bury 025B,E05014166,St. Mary's,E08000002,Bury
E01005033,Bury 024B,E05014165,Sedgley,E08000002,Bury
E01005034,Bury 022D,E05014166,St. Mary's,E08000002,Bury
E01005035,Bury 025C,E05014166,St. Mary's,E08000002,Bury
E01005036,Bury 024C,E05014166,St. Mary's,E08000002,Bury
E01005037,Bury 024D,E05014166,St. Mary's,E08000002,Bury
E01005038,Bury 025D,E05014166,St. Mary's,E08000002,Bury
E01005039,Bury 023D,E05014165,Sedgley,E08000002,Bury
E01005040,Bury 026A,E05014165,Sedgley,E08000002,Bury
E01005041,Bury 026B,E05014165,Sedgley,E08000002,Bury
E01005042,Bury 026C,E05014165,Sedgley,E08000002,Bury
E01005043,Bury 026D,E05014165,Sedgley,E08000002,Bury
E01005044,Bury 026E,E05014165,Sedgley,E08000002,Bury
E01005045,Bury 023E,E05014166,St. Mary's,E08000002,Bury
E01005046,Bury 002C,E05014158,North Manor,E08000002,Bury
E01005047,Bury 003C,E05014167,Tottington,E08000002,Bury
E01005048,Bury 002D,E05014158,North Manor,E08000002,Bury
E01005049,Bury 003D,E05014167,Tottington,E08000002,Bury
E01005050,Bury 006C,E05014167,Tottington,E08000002,Bury
E01005051,Bury 003E,E05014167,Tottington,E08000002,Bury
E01005052,Bury 006D,E05014167,Tottington,E08000002,Bury
E01005053,Bury 006E,E05014167,Tottington,E08000002,Bury
E01005054,Bury 013B,E05014168,Unsworth,E08000002,Bury
E01005055,Bury 017B,E05014168,Unsworth,E08000002,Bury
E01005056,Bury 017C,E05014168,Unsworth,E08000002,Bury
E01005057,Bury 017D,E05014168,Unsworth,E08000002,Bury
E01005058,Bury 017E,E05014168,Unsworth,E08000002,Bury
E01005059,Bury 013C,E05014164,Redvales,E08000002,Bury
E01005060,Bury 013D,E05014168,Unsworth,E08000002,Bury
E01005061,Manchester 018A,E05011351,Ardwick,E08000003,Manchester
E01004975,Bury 023C,E05014156,Holyrood,E08000002,Bury
E01004976,Bury 004A,E05014157,Moorside,E08000002,Bury
E01004774,Bolton 005D,E05000650,Astley Bridge,E08000001,Bolton
E01004977,Bury 004B,E05014157,Moorside,E08000002,Bury
E01004775,Bolton 014A,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004978,Bury 004C,E05014157,Moorside,E08000002,Bury
E01004776,Bolton 031A,E05000668,Westhoughton North and Chew Moor,E08000001,Bolton
E01004979,Bury 008C,E05014157,Moorside,E08000002,Bury
E01004777,Bolton 004A,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004778,Bolton 009A,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004779,Bolton 007A,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004780,Bolton 009B,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004781,Bolton 007B,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004782,Bolton 009C,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004783,Bolton 009D,E05000660,Horwich and Blackrod,E08000001,Bolton
E01004784,Bolton 006A,E05000651,Bradshaw,E08000001,Bolton
E01004785,Bolton 006B,E05000652,Breightmet,E08000001,Bolton
E01004786,Bolton 006C,E05000651,Bradshaw,E08000001,Bolton
E01004787,Bolton 013A,E05000652,Breightmet,E08000001,Bolton
E01004788,Bolton 002A,E05000651,Bradshaw,E08000001,Bolton
E01004789,Bolton 006D,E05000651,Bradshaw,E08000001,Bolton
E01004790,Bolton 002B,E05000651,Bradshaw,E08000001,Bolton
E01004791,Bolton 006E,E05000651,Bradshaw,E08000001,Bolton
E01004792,Bolton 006F,E05000651,Bradshaw,E08000001,Bolton
E01004793,Bolton 013B,E05000652,Breightmet,E08000001,Bolton
E01004794,Bolton 013C,E05000651,Bradshaw,E08000001,Bolton
E01004795,Bolton 013D,E05000652,Breightmet,E08000001,Bolton
E01004796,Bolton 019A,E05000652,Breightmet,E08000001,Bolton
E01004797,Bolton 013E,E05000652,Breightmet,E08000001,Bolton
E01004798,Bolton 019B,E05000652,Breightmet,E08000001,Bolton
E01004799,Bolton 019C,E05000652,Breightmet,E08000001,Bolton
E01004800,Bolton 019D,E05000652,Breightmet,E08000001,Bolton
E01004801,Bolton 019E,E05000652,Breightmet,E08000001,Bolton
E01004802,Bolton 010A,E05000654,Crompton,E08000001,Bolton
E01004803,Bolton 001B,E05000653,Bromley Cross,E08000001,Bolton
E01004804,Bolton 001C,E05000653,Bromley Cross,E08000001,Bolton
E01004805,Bolton 002C,E05000653,Bromley Cross,E08000001,Bolton
E01004806,Bolton 002D,E05000653,Bromley Cross,E08000001,Bolton
E01004807,Bolton 001D,E05000653,Bromley Cross,E08000001,Bolton
E01004808,Bolton 001E,E05000653,Bromley Cross,E08000001,Bolton
E01004809,Bolton 003E,E05000653,Bromley Cross,E08000001,Bolton
E01004980,Bury 008D,E05014157,Moorside,E08000002,Bury
E01004981,Bury 004D,E05014158,North Manor,E08000002,Bury
E01004982,Bury 004E,E05014158,North Manor,E08000002,Bury
E01004983,Bury 020A,E05014159,Pilkington Park,E08000002,Bury
E01004984,Bury 019A,E05014159,Pilkington Park,E08000002,Bury
E01004985,Bury 019B,E05014159,Pilkington Park,E08000002,Bury
E01004986,Bury 020B,E05014159,Pilkington Park,E08000002,Bury
E01004987,Bury 020C,E05014168,Unsworth,E08000002,Bury
E01004988,Bury 020D,E05014168,Unsworth,E08000002,Bury
E01004989,Bury 019C,E05014159,Pilkington Park,E08000002,Bury
E01004990,Bury 016A,E05014162,Radcliffe West,E08000002,Bury
E01004991,Bury 015A,E05014160,Radcliffe East,E08000002,Bury
E01004992,Bury 015B,E05014160,Radcliffe East,E08000002,Bury
E01004993,Bury 015C,E05014160,Radcliffe East,E08000002,Bury
E01004994,Bury 015D,E05014160,Radcliffe East,E08000002,Bury
E01004995,Bury 018A,E05014162,Radcliffe West,E08000002,Bury
E01004996,Bury 016B,E05014162,Radcliffe West,E08000002,Bury
E01004997,Bury 014A,E05014160,Radcliffe East,E08000002,Bury
E01004998,Bury 014B,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E01004999,Bury 014C,E05014160,Radcliffe East,E08000002,Bury
E01005000,Bury 012A,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E01005001,Bury 012B,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E01005002,Bury 014D,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E01005003,Bury 014E,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E01005004,Bury 016C,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E01005005,Bury 012C,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E01005006,Bury 012D,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
E01005007,Bury 019D,E05014159,Pilkington Park,E08000002,Bury
E01005008,Bury 016D,E05014162,Radcliffe West,E08000002,Bury
E01005009,Bury 016E,E05014160,Radcliffe East,E08000002,Bury
E01005010,Bury 018B,E05014162,Radcliffe West,E08000002,Bury
E01005011,Bury 019E,E05014159,Pilkington Park,E08000002,Bury
E01005063,Manchester 018C,E05011351,Ardwick,E08000003,Manchester
E01005065,Manchester 018D,E05011351,Ardwick,E08000003,Manchester
E01005066,Manchester 018E,E05011351,Ardwick,E08000003,Manchester
E01005067,Manchester 020A,E05011351,Ardwick,E08000003,Manchester
E01005068,Manchester 051A,E05011352,Baguley,E08000003,Manchester
E01005069,Manchester 047A,E05011353,Brooklands,E08000003,Manchester
E01005070,Manchester 051B,E05011352,Baguley,E08000003,Manchester
E01005120,Manchester 034B,E05011354,Burnage,E08000003,Manchester
E01005071,Manchester 048A,E05011352,Baguley,E08000003,Manchester
E01005072,Manchester 048B,E05011352,Baguley,E08000003,Manchester
E01005073,Manchester 048C,E05011352,Baguley,E08000003,Manchester
E01005074,Manchester 051C,E05011352,Baguley,E08000003,Manchester
E01005075,Manchester 051D,E05011352,Baguley,E08000003,Manchester
E01005076,Manchester 039A,E05011363,Didsbury West,E08000003,Manchester
E01005077,Manchester 042A,E05011358,Chorlton Park,E08000003,Manchester
E01005078,Manchester 042B,E05011363,Didsbury West,E08000003,Manchester
E01005079,Manchester 042C,E05011363,Didsbury West,E08000003,Manchester
E01005081,Manchester 039C,E05011358,Chorlton Park,E08000003,Manchester
E01005082,Manchester 037A,E05011358,Chorlton Park,E08000003,Manchester
E01005083,Manchester 039D,E05011363,Didsbury West,E08000003,Manchester
E01005084,Manchester 042D,E05011358,Chorlton Park,E08000003,Manchester
E01005085,Manchester 049A,E05011374,Northenden,E08000003,Manchester
E01005086,Manchester 049B,E05011374,Northenden,E08000003,Manchester
E01005087,Manchester 050A,E05011374,Northenden,E08000003,Manchester
E01005088,Manchester 050B,E05011378,Sharston,E08000003,Manchester
E01005089,Manchester 049C,E05011378,Sharston,E08000003,Manchester
E01005090,Manchester 050C,E05011381,Woodhouse Park,E08000003,Manchester
E01005091,Manchester 050D,E05011378,Sharston,E08000003,Manchester
E01005092,Manchester 015A,E05011359,Clayton & Openshaw,E08000003,Manchester
E01005093,Manchester 012A,E05011359,Clayton & Openshaw,E08000003,Manchester
E01005094,Manchester 012B,E05011359,Clayton & Openshaw,E08000003,Manchester
E01005097,Manchester 012C,E05011359,Clayton & Openshaw,E08000003,Manchester
E01005098,Manchester 001A,E05011367,Higher Blackley,E08000003,Manchester
E01005099,Manchester 001B,E05011367,Higher Blackley,E08000003,Manchester
E01005100,Manchester 001C,E05011367,Higher Blackley,E08000003,Manchester
E01005101,Manchester 002A,E05011367,Higher Blackley,E08000003,Manchester
E01005102,Manchester 001D,E05011367,Higher Blackley,E08000003,Manchester
E01005103,Manchester 001E,E05011367,Higher Blackley,E08000003,Manchester
E01005104,Manchester 004A,E05011367,Higher Blackley,E08000003,Manchester
E01005105,Manchester 015C,E05011350,Ancoats & Beswick,E08000003,Manchester
E01005106,Manchester 015D,E05011359,Clayton & Openshaw,E08000003,Manchester
E01005107,Manchester 015E,E05011359,Clayton & Openshaw,E08000003,Manchester
E01005111,Manchester 047B,E05011353,Brooklands,E08000003,Manchester
E01005112,Manchester 048D,E05011352,Baguley,E08000003,Manchester
E01005113,Manchester 047C,E05011353,Brooklands,E08000003,Manchester
E01005114,Manchester 047D,E05011353,Brooklands,E08000003,Manchester
E01005115,Manchester 044A,E05011353,Brooklands,E08000003,Manchester
E01005116,Manchester 047E,E05011353,Brooklands,E08000003,Manchester
E01005117,Manchester 048E,E05011352,Baguley,E08000003,Manchester
E01005118,Manchester 034A,E05011354,Burnage,E08000003,Manchester
E01005119,Manchester 041A,E05011354,Burnage,E08000003,Manchester
E01005234,Manchester 063A,E05011370,Longsight,E08000003,Manchester
E01005179,Manchester 030B,E05011379,Whalley Range,E08000003,Manchester
E01005289,Manchester 049D,E05011378,Sharston,E08000003,Manchester
E01005290,Manchester 052A,E05011378,Sharston,E08000003,Manchester
E01005448,Oldham 012A,E05000737,Waterhead,E08000004,Oldham
E01005291,Manchester 050E,E05011381,Woodhouse Park,E08000003,Manchester
E01005292,Manchester 052B,E05011378,Sharston,E08000003,Manchester
E01005340,Oldham 010D,E05000721,Chadderton North,E08000004,Oldham
E01005392,Oldham 008B,E05000729,Royton North,E08000004,Oldham
E01005293,Manchester 052C,E05011378,Sharston,E08000003,Manchester
E01005294,Manchester 052D,E05011378,Sharston,E08000003,Manchester
E01005295,Manchester 049E,E05011378,Sharston,E08000003,Manchester
E01005296,Manchester 029E,E05011357,Chorlton,E08000003,Manchester
E01005297,Manchester 028A,E05011379,Whalley Range,E08000003,Manchester
E01005298,Manchester 028B,E05011379,Whalley Range,E08000003,Manchester
E01005299,Manchester 029F,E05011357,Chorlton,E08000003,Manchester
E01005300,Manchester 033D,E05011358,Chorlton Park,E08000003,Manchester
E01005301,Manchester 033E,E05011358,Chorlton Park,E08000003,Manchester
E01005302,Manchester 028C,E05011379,Whalley Range,E08000003,Manchester
E01005304,Manchester 040B,E05011380,Withington,E08000003,Manchester
E01005305,Manchester 036A,E05011380,Withington,E08000003,Manchester
E01005306,Manchester 040C,E05011362,Didsbury East,E08000003,Manchester
E01005307,Manchester 040D,E05011380,Withington,E08000003,Manchester
E01005308,Manchester 040E,E05011380,Withington,E08000003,Manchester
E01005309,Manchester 036B,E05011380,Withington,E08000003,Manchester
E01005310,Manchester 036C,E05011380,Withington,E08000003,Manchester
E01005311,Manchester 036D,E05011380,Withington,E08000003,Manchester
E01005312,Manchester 036E,E05011380,Withington,E08000003,Manchester
E01005313,Manchester 053A,E05011381,Woodhouse Park,E08000003,Manchester
E01005314,Manchester 053B,E05011381,Woodhouse Park,E08000003,Manchester
E01005315,Manchester 053C,E05011381,Woodhouse Park,E08000003,Manchester
E01005316,Manchester 053D,E05011381,Woodhouse Park,E08000003,Manchester
E01005317,Manchester 052E,E05011381,Woodhouse Park,E08000003,Manchester
E01005318,Manchester 053E,E05011381,Woodhouse Park,E08000003,Manchester
E01005319,Manchester 051E,E05011381,Woodhouse Park,E08000003,Manchester
E01005320,Oldham 024A,E05000719,Alexandra,E08000004,Oldham
E01005321,Oldham 022A,E05000719,Alexandra,E08000004,Oldham
E01005322,Oldham 029A,E05000719,Alexandra,E08000004,Oldham
E01005323,Oldham 029B,E05000728,Medlock Vale,E08000004,Oldham
E01005324,Oldham 029C,E05000728,Medlock Vale,E08000004,Oldham
E01005325,Oldham 029D,E05000728,Medlock Vale,E08000004,Oldham
E01005326,Oldham 022B,E05000735,St Mary's,E08000004,Oldham
E01005327,Oldham 017A,E05000720,Chadderton Central,E08000004,Oldham
E01005328,Oldham 017B,E05000720,Chadderton Central,E08000004,Oldham
E01005329,Oldham 015A,E05000720,Chadderton Central,E08000004,Oldham
E01005330,Oldham 015B,E05000720,Chadderton Central,E08000004,Oldham
E01005331,Oldham 017C,E05000720,Chadderton Central,E08000004,Oldham
E01005332,Oldham 028A,E05000720,Chadderton Central,E08000004,Oldham
E01005333,Oldham 015C,E05000720,Chadderton Central,E08000004,Oldham
E01005334,Oldham 017D,E05000721,Chadderton North,E08000004,Oldham
E01005335,Oldham 010A,E05000721,Chadderton North,E08000004,Oldham
E01005336,Oldham 015D,E05000721,Chadderton North,E08000004,Oldham
E01005337,Oldham 010B,E05000721,Chadderton North,E08000004,Oldham
E01005338,Oldham 017E,E05000721,Chadderton North,E08000004,Oldham
E01005339,Oldham 010C,E05000721,Chadderton North,E08000004,Oldham
E01005449,Oldham 012B,E05000737,Waterhead,E08000004,Oldham
E01005450,Oldham 019C,E05000737,Waterhead,E08000004,Oldham
E01005235,Manchester 020D,E05011370,Longsight,E08000003,Manchester
